Temp,Humidity,Presure
26.85,80.97,1011.06
26.85,80.94,1011.06
26.86,80.99,1011.09
26.88,80.98,1011.09
26.88,80.98,1011.06
26.88,80.88,1011.04
26.88,80.91,1011.07
26.88,80.96,1011.06
26.88,80.92,1011.03
26.9,80.9,1011.08
26.92,80.9,1011.08
26.94,80.91,1011.1
26.94,80.85,1011.05
26.95,80.79,1011.07
26.93,80.72,1011.07
26.95,80.67,1011.08
26.94,80.64,1011.07
26.94,80.63,1011.1
26.94,80.65,1011.08
26.96,80.67,1011.09
26.96,80.64,1011.07
26.97,80.63,1011.06
26.95,80.65,1011.04
26.93,80.74,1011.05
26.94,80.74,1011.05
26.91,80.67,1011.04
26.89,80.75,1011.08
26.88,80.77,1011.05
26.89,80.77,1011.04
26.86,80.79,1011.04
26.88,80.77,1011.05
26.87,80.8,1011.06
26.86,80.87,1011.04
26.84,80.9,1011.04
26.87,80.93,1011.03
26.85,81,1011.03
26.84,81.01,1011.06
26.83,81.06,1011.04
26.85,81.07,1011.06
26.84,81.06,1011.04
26.85,81.08,1011.07
26.84,81.08,1011.04
26.85,81.11,1011.03
26.83,81.06,1011.02
26.84,81.04,1011.05
26.81,81.08,1011.02
26.81,81.13,1010.97
26.82,81.17,1010.99
26.8,81.14,1010.99
26.79,81.11,1011.01
26.79,81.18,1011.04
26.77,81.21,1011.02
26.75,81.21,1011.04
26.75,81.23,1011.02
26.76,81.29,1011.05
26.76,81.32,1010.99
26.76,81.31,1011.02
26.78,81.3,1011.03
26.79,81.26,1011.02
26.78,81.24,1011.02
26.77,81.23,1011.01
26.77,81.22,1011.02
26.76,81.24,1011
26.76,81.24,1011
26.79,81.21,1011.02
26.79,81.16,1010.98
26.79,81.19,1011.01
26.81,81.19,1011
26.8,81.18,1011.01
26.8,81.16,1011.04
26.78,81.16,1011.01
26.79,81.18,1011.03
26.78,81.2,1010.99
26.78,81.22,1011.04
26.79,81.2,1011.03
26.77,81.18,1011
26.78,81.2,1011.01
26.79,81.16,1011.02
26.83,81.13,1010.99
26.85,81.07,1011.01
26.88,81,1011.01
26.88,80.96,1011.02
26.89,80.99,1011.01
26.9,80.96,1011.02
26.9,80.94,1011.05
26.9,80.89,1011.05
26.89,80.86,1011.03
26.91,80.95,1011
26.93,81.01,1011
26.94,80.98,1011.01
26.94,81.05,1011
26.95,81.05,1011
26.94,81.05,1010.99
