Temp,Humidity,Presure,Label
32.85,57.97,1012.55,blazing_sun
32.86,57.93,1012.53,blazing_sun
32.84,57.89,1012.55,blazing_sun
32.83,57.95,1012.55,blazing_sun
32.82,58.07,1012.55,blazing_sun
32.83,58.16,1012.57,blazing_sun
32.83,58.21,1012.55,blazing_sun
32.84,58.3,1012.56,blazing_sun
32.86,58.78,1012.55,blazing_sun
32.85,58.96,1012.56,blazing_sun
32.84,59.04,1012.55,blazing_sun
32.84,58.88,1012.54,blazing_sun
32.78,58.78,1012.54,blazing_sun
32.79,58.79,1012.57,blazing_sun
32.79,59.08,1012.57,blazing_sun
32.77,58.95,1012.6,blazing_sun
32.76,58.13,1012.56,blazing_sun
32.75,57.76,1012.57,blazing_sun
32.74,57.8,1012.52,blazing_sun
32.73,58.01,1012.57,blazing_sun
32.74,57.85,1012.55,blazing_sun
32.76,57.82,1012.55,blazing_sun
32.77,57.79,1012.56,blazing_sun
32.78,57.77,1012.57,blazing_sun
32.77,58.06,1012.54,blazing_sun
32.77,58.2,1012.54,blazing_sun
32.74,58.31,1012.56,blazing_sun
32.75,58.37,1012.55,blazing_sun
32.71,58.61,1012.57,blazing_sun
32.72,58.45,1012.57,blazing_sun
32.73,57.13,1012.53,blazing_sun
32.75,56.69,1012.52,blazing_sun
32.76,56.45,1012.56,blazing_sun
32.77,56.4,1012.53,blazing_sun
32.78,56.46,1012.54,blazing_sun
32.78,56.74,1012.52,blazing_sun
32.78,57.03,1012.53,blazing_sun
32.79,57.19,1012.55,blazing_sun
32.79,57.43,1012.51,blazing_sun
32.81,57.54,1012.53,blazing_sun
32.82,57.54,1012.52,blazing_sun
32.84,56.91,1012.52,blazing_sun
32.83,56.53,1012.53,blazing_sun
32.88,56.55,1012.52,blazing_sun
32.88,56.54,1012.52,blazing_sun
32.89,56.24,1012.52,blazing_sun
32.88,56.25,1012.52,blazing_sun
32.89,56.32,1012.51,blazing_sun
32.9,56.33,1012.5,blazing_sun
32.92,56.38,1012.49,blazing_sun
32.93,56.43,1012.51,blazing_sun
32.94,56.54,1012.46,blazing_sun
32.96,56.57,1012.46,blazing_sun
32.98,56.7,1012.43,blazing_sun
32.97,56.83,1012.45,blazing_sun
32.96,56.87,1012.49,blazing_sun
32.95,56.87,1012.49,blazing_sun
32.95,57,1012.48,blazing_sun
32.95,57.11,1012.49,blazing_sun
32.94,57.13,1012.45,blazing_sun
32.95,57.25,1012.48,blazing_sun
32.94,57.38,1012.48,blazing_sun
32.91,57.38,1012.48,blazing_sun
32.88,57.23,1012.48,blazing_sun
32.85,57.39,1012.49,blazing_sun
32.84,57.59,1012.49,blazing_sun
32.81,57.65,1012.48,blazing_sun
32.83,57.65,1012.5,blazing_sun
32.85,57.61,1012.49,blazing_sun
32.87,57.55,1012.51,blazing_sun
32.88,57.55,1012.51,blazing_sun
32.87,57.55,1012.48,blazing_sun
32.84,57.66,1012.52,blazing_sun
32.83,57.68,1012.49,blazing_sun
